Sex,Age interval,Education level,Access to phone,Income source,What are mangroves?,Do you know the laws about mangroves?,What text of law about the environment do you know?,Do you know what the laws say about mangroves protection?,What does the law about the environment and mangrove protection say?,What is the importance of the mangroves?,Are mangroves in danger?,Why do you believe the mangroves are in danger?,Do you know what can be done to protect the mangroves?,What can be done to protect the mangroves according to you?,What is the importance of trees according to you?,Do you have skills in tree nursery,Are you willing to be trained in tree nursery?,Are you willing to be trained in mangroves nursery?,Are you willing to learn new fishing technics?,Are you willing to use better fishing equipement to protect the baby fishes?,Do you go to fish every week of a month?,What is your average fishing income on a week?,What culture you practice the best?,What agricultural practices do you know?,"For the pass 12 months, what activities did you do in the mangroves?",When do you use to cut out the mangroves?,What equipement you use in fishing?
Male,Greater than 55,None,Yes,Fishing Animal breeding,A tree that grows in forest by the sea,Yes,Environment Decree (2005),Yes,Do not throw garbage in the mangroves Don't cut them,Protect the reefs Birds habitat It contributes to food security (thank to fishing products) Other,No,,,Elaborate a plan with community management Organize a management committee use of fishing tools that are more durable Enforce law to protect the mangroves,Provide oxygen Controle the earth temperature Protection against flooding Wind breaker Protect soil agains erosion,Yes,Yes,Yes,Yes,Yes,Yes,10000.0,Sorgho Corn Bean (Haricot) Other Peach,Cultivate seasonal crops on the mountainsides Plowing the soil Soil conservation with dry walls Soil conservation with living ramp Irrigation canals Plant trees in the gardens Put organic fertilizer in the soil Breed animals after the crops to fertilize the soil,Parking for the boats Fishing,,Hook pirogue Other Fishing Trap
Male,From 35 to 55,Primary school,Yes,Agriculture Fishing Animal breeding,A tree that grows in forest by the sea,No,,Yes,Don't cut them Do not throw garbage in the mangroves,Prevent flooding Protect the reefs Birds habitat Growing environment for crustaceans,No,,,,Protection against flooding Provide oxygen Wind breaker Protect soil agains erosion Facilitate water filtration to the ground,No,Yes,Yes,Yes,Yes,Yes,5000.0,Corn Bean (Haricot) Other Melon,Cultivate seasonal crops on the mountainsides Plowing the soil Soil conservation with dry walls Soil conservation with living ramp Irrigation canals Plant trees in the gardens Burn the soil with the weeds Put organic fertilizer in the soil Breed animals after the crops to fertilize the soil,Parking for the boats Fishing,,pirogue Hook Other Fishing Trap
Male,Less than 25,None,No,Fishing Agriculture Animal breeding Charcoal with mangrove Woods,A tree that grows in forest by the sea,No,,No,,Prevent flooding Protect the reefs Birds habitat Growing environment for crustaceans It contributes to food security (thank to fishing products),Yes,Urbanization of mangrove areas Mangroves become a dumping ground for garbage Other,Yes,Valorize mangroves forest with tourism Educate and sensitize the population on how to exploit mangroves Enforce law to protect the mangroves,Protection against flooding Provide oxygen Natural medicines Protect soil agains erosion,Yes,Yes,Yes,Yes,Yes,Yes,5000.0,Other Corn Sorgho Peanut Pigeon pea Bean (Haricot) Yam Banana tree Peach,Plowing the soil Soil conservation with dry walls Soil conservation with living ramp Irrigation canals Plant trees in the gardens Plant bamboos on the mountainsides Cut off trees in the garden Burn the soil with the weeds Put organic fertilizer in the soil Breed animals after the crops to fertilize the soil Other Cultivate seasonal crops on the mountainsides,Parking for the boats Cut out living trees Cut dead trees,January September November,pirogue Other Fishing Trap
Male,From 35 to 55,None,Yes,Agriculture Animal breeding Fishing,A tree that grows in forest by the sea,No,,,,Protect the reefs Birds habitat Growing environment for crustaceans,Yes,Continuous deposition of sediments in mangroves Urbanization of mangrove areas Other,Yes,Elaborate a plan with community management Organize a management committee Use mangroves areas for bee keeping Valorize mangroves forest with tourism,Protection against flooding Provide oxygen Wind breaker Protect soil agains erosion Facilitate water filtration to the ground,Yes,Yes,Yes,Yes,Yes,Yes,15000.0,Sorgho Bean (Haricot) Other Melon,Cultivate seasonal crops on the mountainsides Plowing the soil Soil conservation with dry walls Irrigation canals Plant trees in the gardens Cut off trees in the garden Burn the soil with the weeds Breed animals after the crops to fertilize the soil,Parking for the boats Fishing Cut out living trees,February Other,Hook pirogue
Male,Greater than 55,None,Yes,Fishing Agriculture,A tree that grows in forest by the sea,No,,,,Prevent flooding Growing environment for crustaceans,Yes,Community over-exploitation of mangroves Absence of government/no control of mangroves exploitation,Yes,Elaborate a plan with community management Organize a management committee,Controle the earth temperature Wind breaker Facilitate water filtration to the ground,Yes,Yes,Yes,Yes,Yes,Yes,1000.0,Sorgho Pigeon pea Other Corn Melon,Cultivate seasonal crops on the mountainsides Soil conservation with dry walls Soil conservation with living ramp Irrigation canals Cut off trees in the garden Burn the soil with the weeds Put organic fertilizer in the soil Breed animals after the crops to fertilize the soil,Parking for the boats Fishing,,pirogue Hook Gun Other Fin
Male,From 35 to 55,Primary school,Yes,Fishing,A tree that grows in forest by the sea,No,,,,Growing environment for crustaceans,Yes,Community over-exploitation of mangroves,Yes,Elaborate a plan with community management Other,Provide oxygen,No,Yes,Yes,Yes,Yes,Yes,300.0,Pigeon pea Other Corn Melon,Plant trees in the gardens Burn the soil with the weeds,Parking for the boats Fishing,,pirogue Hook Gun Other Nylon
Male,From 25 to 35,High school,Yes,Fishing,A tree that grows in forest by the sea,No,,,,Growing environment for crustaceans,Yes,Community over-exploitation of mangroves Other,Yes,Elaborate a plan with community management,Provide oxygen Other,No,Yes,Yes,Yes,Yes,Yes,2500.0,Corn Other Melon,Cut off trees in the garden Burn the soil with the weeds Breed animals after the crops to fertilize the soil,Parking for the boats Cut dead trees Fishing,,pirogue Hook Gun Other Diving glasses
Male,From 35 to 55,None,Yes,Agriculture Animal breeding Fishing,A tree that grows in forest by the sea,No,,,,Birds habitat Growing environment for crustaceans,Yes,Community over-exploitation of mangroves,Yes,Other,Provide oxygen,No,Yes,Yes,Yes,Yes,Yes,3000.0,Corn Sorgho Yam Bean (Haricot) Other Melon,Plowing the soil Soil conservation with dry walls Irrigation canals Plant trees in the gardens Cut off trees in the garden Burn the soil with the weeds Put organic fertilizer in the soil Breed animals after the crops to fertilize the soil,Parking for the boats Fishing,,pirogue Hook Gun Other Nylon
Female,From 25 to 35,Primary school,Yes,Fishing,A tree that grows in forest by the sea,No,,,,Growing environment for crustaceans Other,Yes,Community over-exploitation of mangroves Other,Yes,Other Elaborate a plan with community management,Provide oxygen Wind breaker,No,Yes,Yes,Yes,Yes,,,Corn Bean (Haricot) Other Banana tree Melon,Soil conservation with living ramp Plant trees in the gardens Burn the soil with the weeds Breed animals after the crops to fertilize the soil,Cut dead trees Fishing,,Other
Female,From 35 to 55,Primary school,Yes,Fishing,A tree that grows in forest by the sea,No,,,,Growing environment for crustaceans Other,No,,No,,Facilitate water filtration to the ground Protect soil agains erosion,No,Yes,Yes,Yes,Yes,Yes,2500.0,Pigeon pea Banana tree Other Melon,Plant trees in the gardens Put organic fertilizer in the soil Breed animals after the crops to fertilize the soil,Fishing,,Other Hook Small mesh net Nylon
