Sex,Age interval,Education level,Access to phone,Income source,What are mangroves?,Do you know the laws about mangroves?,What text of law about the environment do you know?,Do you know what the laws say about mangroves protection?,What does the law about the environment and mangrove protection say?,What is the importance of the mangroves?,Are mangroves in danger?,Why do you believe the mangroves are in danger?,Do you know what can be done to protect the mangroves?,What can be done to protect the mangroves according to you?,What is the importance of trees according to you?,Do you have skills in tree nursery?,Are you willing to be trained to protect the mangroves?,Are you willing to be trained in tree nursery?,Are you willing to chnage your agricultural practices to protect the mangroves?,Are you willing to adopt new culture like Moringa to protect the soil against erosion?,"For the pase 12 months, what activities did you do in the mangroves?",What do you use to do with trees that are in your garden?,What culture you practice the best?,What agricultural practices do you know?,When do you use to cut out the mangroves?,Do you use to plant trees in your gargen?,Have you already seen Moringa garden?,What can one do with the leaves or the fruit of Moringa?,Do you cultivate Moringa?,Why do you cultivate Moringa?,Are you willing to cultivate Moringa in the future?,How much space in your farm are you willing to use to cultivate Moringa?,Where would you cultivate Moringa?
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Male,Greater than 55,Primary school,Yes,Agriculture Animal breeding,,,,,,,,,,,Protect soil agains erosion,Yes,,Yes,,Yes,,Harvest their fruits and leaves as food or medicines,Corn Sorgho Pigeon pea Bean (Haricot),Soil conservation with dry walls Fe ranp vivan pou pwoteje te yo kon ewozyon,,Yes,Yes,Human food (their leaves),Yes,Food/Vegetable,Yes,More than 1 ha,Other
Female,From 35 to 55,Primary school,Yes,Agriculture Animal breeding,,,,,,,,,,,Protect soil agains erosion,Yes,,Yes,,Yes,,Harvest their fruits and leaves as food or medicines,Corn Sorgho Banana tree Pigeon pea Bean (Haricot) Yam,Fe ranp vivan pou pwoteje te yo kon ewozyon Soil conservation with dry walls,,Yes,Yes,Human food (their leaves),Yes,Food/Vegetable,Yes,1 ha,Other
Male,From 25 to 35,Primary school,Yes,Agriculture Animal breeding,,,,,,,,,,,Provide oxygen,Yes,,Yes,,Yes,,Harvest their fruits and leaves as food or medicines,Corn Sorgho Bean (Haricot) Pigeon pea,Fe ranp vivan pou pwoteje te yo kon ewozyon Soil conservation with dry walls,,Yes,Yes,Human food (their leaves),Yes,Food/Vegetable,Yes,1 ha,Other
Male,From 25 to 35,High school,Yes,Agriculture Animal breeding,,,,,,,,,,,Protect soil agains erosion,Yes,,Yes,,Yes,,,Corn Sorgho Pigeon pea Bean (Haricot),Soil conservation with dry walls Fe ranp vivan pou pwoteje te yo kon ewozyon,,Yes,Yes,Human food (their leaves),Yes,Food/Vegetable,Yes,0.25 ha,Other
Male,From 35 to 55,Primary school,Yes,Agriculture Animal breeding,,,,,,,,,,,Protect soil agains erosion,Yes,,Yes,,Yes,,Harvest their fruits and leaves as food or medicines,Corn Sorgho Pigeon pea Bean (Haricot),Soil conservation with dry walls Fe ranp vivan pou pwoteje te yo kon ewozyon,,Yes,Yes,Human food (their leaves),Yes,Food/Vegetable,Yes,1 ha,Other
Female,From 35 to 55,Primary school,Yes,Animal breeding Agriculture,,,,,,,,,,,Protect soil agains erosion,Yes,Yes,Yes,Yes,Yes,,Harvest their fruits and leaves to feed animals,Corn Pigeon pea Bean (Haricot),Fe ranp vivan pou pwoteje te yo kon ewozyon,,Yes,Yes,Human food (their leaves),Yes,Food/Vegetable,Yes,More than 1 ha,Other
Male,From 35 to 55,High school,No,Agriculture Animal breeding,,,,,,,,,,,Protect soil agains erosion,Yes,,Yes,,Yes,,Harvest their fruits and leaves as food or medicines,Corn Pigeon pea,Fe ranp vivan pou pwoteje te yo kon ewozyon,,Yes,Yes,Human food (their leaves),Yes,Food/Vegetable,Yes,Less than 0.25 ha,Other
Female,Greater than 55,None,Yes,Agriculture Animal breeding,,,,,,,,,,,Protect soil agains erosion,Yes,,Yes,,Yes,,Harvest their fruits and leaves to feed animals,Corn Pigeon pea,Fe ranp vivan pou pwoteje te yo kon ewozyon Soil conservation with dry walls,,Yes,Yes,Human food (their leaves),Yes,Food/Vegetable,Yes,0.25 ha,Other
Male,From 35 to 55,High school,Yes,Agriculture Animal breeding,,,,,,,,,,,Protect soil agains erosion,Yes,,Yes,,Yes,,Harvest their fruits and leaves to feed animals,Corn Pigeon pea Bean (Haricot) Other Sorgho,Fe ranp vivan pou pwoteje te yo kon ewozyon Soil conservation with dry walls,,Yes,Yes,Transform the fruits to oil,Yes,Sale the leaves and fruits,Yes,1 ha,Other
,,,Yes,Animal breeding Other Business,A tree that grows in forest by the sea,No,,,,Li kontribiye ak bay sekirite alimantè (gras ak pwodwi pèch li ofri yo) Prevent flooding,Yes,Absence of government/no control of mangroves exploitation Community over-exploitation of mangroves Continuous deposition of sediments in mangroves,No,,Protect soil agains erosion Facilitate water filtration to the ground Provide food for human and animals Natural medicines Controle the earth temperature Provide oxygen Protection against flooding,Yes,Yes,Yes,Yes,Yes,Cut out living trees Cut dead trees Fishing,Harvest their fruits and leaves as food or medicines Harvest their fruits and leaves to feed animals,Corn Pigeon pea Bean (Haricot) Banana tree,Grow peanuts on the mountainsides Plowing the soil Soil conservation with dry walls Fe ranp vivan pou pwoteje te yo kon ewozyon Plant trees in the gardens Cut off trees in the garden Burn the soil with the weeds Put organic fertilizer in the soil,April June Other,Yes,Yes,Human food (their leaves) Transform it to powder Transform the fruits to oil,Yes,Food/Vegetable Sale the leaves and fruits,Yes,Less than 0.25 ha,Other 4th Section
Male,Greater than 55,Primary school,Yes,Agriculture Charcoal with woods of other trees,A tree that grows in forest by the sea,Yes,Environment Decree (2005),Yes,Don't cut them,Prevent flooding Protect the reefs Li kontribiye ak bay sekirite alimantè (gras ak pwodwi pèch li ofri yo),Yes,Continuous deposition of sediments in mangroves Decrease in the sea level Absence of government/no control of mangroves exploitation,Yes,Elaborate a plan with community management Organize a management committee Plant more mangroves Use mangroves areas for bee keeping Enforce law to protect the mangroves,Provide food for human and animals Protect soil agains erosion Wind breaker Protection against flooding Provide oxygen,No,Yes,Yes,Yes,Yes,Cut out living trees Cut dead trees,Chop dead branches for cooking Chop woods to make charcoal Harvest their fruits and leaves as food or medicines Harvest their fruits and leaves to feed animals Chop woods for construction,Corn Bean (Haricot) Sorgho Banana tree Yam,Plowing the soil Soil conservation with dry walls Fe kanl koutou pou pemet plis dlo antre nan te a  Plant trees in the gardens Cut off trees in the garden Put organic fertilizer in the soil Burn the soil with the weeds Breed animals after the crops to fertilize the soil,January May Other,Yes,Yes,Transform it to powder Human food (their leaves) Transform the fruits to oil Other,Yes,Food/Vegetable Sale the leaves and fruits,Yes,Less than 0.25 ha,2nd Section
Male,From 25 to 35,Primary school,Yes,Agriculture Charcoal with woods of other trees Other,A tree that grows in forest by the sea,No,,,,Prevent flooding Protect the reefs Birds habitat Li kontribiye ak bay sekirite alimantè (gras ak pwodwi pèch li ofri yo),No,,Yes,Organize a management committee Elaborate a plan with community management Valorize mangroves forest with tourism Other,Protect soil agains erosion Facilitate water filtration to the ground Provide food for human and animals Natural medicines Provide oxygen Protection against flooding,Yes,Yes,Yes,Yes,Yes,Other,Chop woods for construction Chop dead branches for cooking Harvest their fruits and leaves to feed animals Harvest their fruits and leaves as food or medicines Other,Banana tree Corn Bean (Haricot) Other,Soil conservation with dry walls Plant trees in the gardens Cut off trees in the garden Put organic fertilizer in the soil,,Yes,Yes,Human food (their leaves) Transform it to powder Transform the fruits to oil Other,Yes,Food/Vegetable Animal food Sale the leaves and fruits,Yes,Don't have farm,
Male,From 35 to 55,High school,Yes,Agriculture Other Mason,A tree that grows in forest by the sea,No,,,,Li kontribiye ak bay sekirite alimantè (gras ak pwodwi pèch li ofri yo) Other,Yes,Absence of government/no control of mangroves exploitation Community over-exploitation of mangroves Continuous deposition of sediments in mangroves,Yes,Elaborate a plan with community management Organize a management committee Use mangroves areas for bee keeping Plant more mangroves Valorize mangroves forest with tourism Educate and sensitize the population on how to exploit mangroves Other,Facilitate water filtration to the ground Protect soil agains erosion Controle the earth temperature Provide oxygen Protection against flooding Other,No,Yes,Yes,Yes,Yes,,Harvest their fruits and leaves as food or medicines Chop dead branches for cooking Harvest their fruits and leaves to feed animals Chop woods for construction Other,Corn Pigeon pea Yam Banana tree Bean (Haricot),Plowing the soil Soil conservation with dry walls Fe ranp vivan pou pwoteje te yo kon ewozyon Fe kanl koutou pou pemet plis dlo antre nan te a  Plant trees in the gardens Cut off trees in the garden Put organic fertilizer in the soil Breed animals after the crops to fertilize the soil,,Yes,Yes,Human food (their leaves) Transform the fruits to oil,Yes,Animal food Food/Vegetable Sale the leaves and fruits,Yes,Less than 0.25 ha,2nd Section
Male,From 35 to 55,High school,Yes,Agriculture Other Business,A tree that grows in forest by the sea,Yes,Other,Yes,Don't cut them,Li kontribiye ak bay sekirite alimantè (gras ak pwodwi pèch li ofri yo) Protect the reefs,Yes,Continuous deposition of sediments in mangroves Decrease in the sea level Urbanization of mangrove areas,Yes,Elaborate a plan with community management Organize a management committee Use mangroves areas for bee keeping Plant more mangroves Valorize mangroves forest with tourism Soil conservation in the mountains Other,Controle the earth temperature Natural medicines Provide food for human and animals Facilitate water filtration to the ground Provide oxygen Wind breaker Protect soil agains erosion,No,Yes,Yes,Yes,Yes,Cut dead trees,Harvest their fruits and leaves as food or medicines Chop dead branches for cooking Harvest their fruits and leaves to feed animals Chop woods to make charcoal Chop woods for construction,Bean (Haricot) Yam Banana tree Corn Pigeon pea Other,Soil conservation with dry walls Fe ranp vivan pou pwoteje te yo kon ewozyon Plant trees in the gardens Cut off trees in the garden Put organic fertilizer in the soil,Other,Yes,Yes,Human food (their leaves) Animal food Transform it to powder Transform the fruits to oil Use them as medicine,Yes,Sale the leaves and fruits Food/Vegetable,Yes,1 ha,4th Section
Male,From 35 to 55,High school,Yes,Agriculture Other,A tree that grows in forest by the sea,Yes,Other,Yes,Don't cut them,Li kontribiye ak bay sekirite alimantè (gras ak pwodwi pèch li ofri yo) Prevent flooding Protect the reefs,No,,Yes,Elaborate a plan with community management Organize a management committee Use mangroves areas for bee keeping Plant more mangroves Valorize mangroves forest with tourism Educate and sensitize the population on how to exploit mangroves Enforce law to protect the mangroves Soil conservation in the mountains Other,Provide food for human and animals Provide oxygen Protect soil agains erosion Wind breaker Other,No,Yes,Yes,Yes,Yes,Cut dead trees,Harvest their fruits and leaves as food or medicines Harvest their fruits and leaves to feed animals Chop dead branches for cooking Chop woods to make charcoal Chop woods for construction,Corn Pigeon pea,Plowing the soil Soil conservation with dry walls Fe ranp vivan pou pwoteje te yo kon ewozyon Fe kanl koutou pou pemet plis dlo antre nan te a  Plant trees in the gardens Cut off trees in the garden Put organic fertilizer in the soil Breed animals after the crops to fertilize the soil,July January,Yes,Yes,Transform the fruits to oil Human food (their leaves) Animal food Use them as medicine Transform it to powder,Yes,Animal food Food/Vegetable,Yes,Less than 0.25 ha,Other
Male,From 35 to 55,High school,Yes,Agriculture Other,A tree that grows in forest by the sea,No,,,,Li kontribiye ak bay sekirite alimantè (gras ak pwodwi pèch li ofri yo) Prevent flooding Protect the reefs Birds habitat Growing environment for crustaceans,Yes,Absence of government/no control of mangroves exploitation Community over-exploitation of mangroves Continuous deposition of sediments in mangroves Decrease in the sea level Urbanization of mangrove areas,Yes,Elaborate a plan with community management Organize a management committee Use mangroves areas for bee keeping Plant more mangroves Valorize mangroves forest with tourism Educate and sensitize the population on how to exploit mangroves Enforce law to protect the mangroves Other,Protect soil agains erosion Provide food for human and animals Facilitate water filtration to the ground Provide oxygen Protection against flooding Wind breaker,Yes,Yes,Yes,Yes,Yes,Cut dead trees Other,Harvest their fruits and leaves as food or medicines Chop dead branches for cooking Chop woods for construction Other,Corn Pigeon pea Banana tree Other,Soil conservation with dry walls Fe ranp vivan pou pwoteje te yo kon ewozyon Plant trees in the gardens Cut off trees in the garden Put organic fertilizer in the soil Breed animals after the crops to fertilize the soil,May,Yes,Yes,Human food (their leaves) Transform the fruits to oil Transform it to powder Use them as medicine,Yes,Animal food Food/Vegetable Sale the leaves and fruits,Yes,1 ha,Other
