Sex,Age interval,Education level,Access to phone,Income source,What are mangroves?,Do you know the laws about mangroves?,What text of law about the environment do you know?,Do you know what the laws say about mangroves protection?,What does the law about the environment and mangrove protection say?,What is the importance of the mangroves?,Are mangroves in danger?,Why do you believe the mangroves are in danger?,Do you know what can be done to protect the mangroves?,What can be done to protect the mangroves according to you?,What is the importance of trees according to you?,Do you have skills in tree nursery,Are you willing to be trained in tree nursery?,Are you willing to be trained in mangroves nursery?,Are you willing to learn new fishing technics?,Are you willing to use better fishing equipement to protect the baby fishes?,Do you go to fish every week of a month?,What is your average fishing income on a week?,What culture you practice the best?,What agricultural practices do you know?,"For the pass 12 months, what activities did you do in the mangroves?",When do you use to cut out the mangroves?,What equipement you use in fishing?
Male,Greater than 55,None,Yes,Animal breeding,A tree that grows in forest by the sea,Yes,Don't know,Yes,Don't cut them,Protect the reefs,Yes,Absence of government/no control of mangroves exploitation,Yes,Elaborate a plan with community management,Protect soil agains erosion,Yes,Yes,Yes,Yes,Yes,Yes,2000.0,Corn Sorgho Bean (Haricot) Pigeon pea,Soil conservation with dry walls,Fishing,July,Hook
Male,From 35 to 55,Primary school,Yes,Animal breeding,A tree that grows in forest by the sea,Yes,Don't know,Yes,Do not throw garbage in the mangroves,Growing environment for crustaceans,Yes,Absence of government/no control of mangroves exploitation,Yes,Elaborate a plan with community management,Protect soil agains erosion,Yes,Yes,Yes,Yes,Yes,Yes,1200.0,Banana tree Yam,Soil conservation with living ramp Soil conservation with dry walls,Fishing,June,pirogue Hook
Male,Greater than 55,Primary school,Yes,Animal breeding,A tree that grows in forest by the sea,Yes,Don't know,Yes,Don't cut them,Growing environment for crustaceans,Yes,Absence of government/no control of mangroves exploitation,Yes,Elaborate a plan with community management,Protect soil agains erosion,Yes,Yes,Yes,Yes,Yes,Yes,500.0,,,Fishing,June,pirogue Hook
Male,From 25 to 35,Primary school,Yes,Animal breeding,A tree that grows in forest by the sea,Yes,Don't know,Yes,Don't cut them,Growing environment for crustaceans,Yes,Absence of government/no control of mangroves exploitation,Yes,Elaborate a plan with community management,Protect soil agains erosion,Yes,Yes,Yes,Yes,Yes,No,600.0,,,Fishing,June,pirogue Hook
Male,From 25 to 35,Primary school,Yes,Animal breeding,A tree that grows in forest by the sea,Yes,Don't know,Yes,Do not throw garbage in the mangroves,Protect the reefs,Yes,Absence of government/no control of mangroves exploitation,Yes,Elaborate a plan with community management,,Yes,Yes,Yes,Yes,Yes,Yes,300.0,,,Fishing,June,pirogue Hook
Male,From 25 to 35,Primary school,Yes,Animal breeding,A tree that grows in forest by the sea,Yes,Don't know,Yes,Do not throw garbage in the mangroves,Growing environment for crustaceans,Yes,Absence of government/no control of mangroves exploitation,Yes,Elaborate a plan with community management,,Yes,,Yes,Yes,Yes,No,2000.0,,,Fishing,June,pirogue Hook
Male,From 25 to 35,High school,Yes,Animal breeding,A tree that grows in forest by the sea,Yes,Don't know,Yes,Don't cut them,Growing environment for crustaceans,Yes,Absence of government/no control of mangroves exploitation,Yes,Elaborate a plan with community management,Protect soil agains erosion,Yes,Yes,Yes,Yes,Yes,No,3000.0,,,Fishing,June,pirogue Hook
Male,From 35 to 55,Primary school,Yes,Fishing,A tree that grows in forest by the sea,No,,,,Prevent flooding Protect the reefs Growing environment for crustaceans Birds habitat It contributes to food security (thank to fishing products),Yes,Absence of government/no control of mangroves exploitation Community over-exploitation of mangroves Continuous deposition of sediments in mangroves Urbanization of mangrove areas Mangroves become a dumping ground for garbage Decrease in the sea level,Yes,Organize a management committee Elaborate a plan with community management Use mangroves areas for bee keeping Valorize mangroves forest with tourism Educate and sensitize the population on how to exploit mangroves Plant more mangroves Enforce law to protect the mangroves Soil conservation in the mountains use of fishing tools that are more durable,Protect soil agains erosion Facilitate water filtration to the ground Natural medicines Controle the earth temperature Provide oxygen Protection against flooding Wind breaker Other,Yes,Yes,Yes,Yes,Yes,Yes,4500.0,Other Peach,Other,Fishing,May September November Other,Small mesh net Hook pirogue Other
Male,Greater than 55,High school,Yes,Animal breeding,A tree that grows in forest by the sea,Yes,Don't know,Yes,Do not throw garbage in the mangroves,Birds habitat,Yes,Absence of government/no control of mangroves exploitation,Yes,Elaborate a plan with community management,Protect soil agains erosion,Yes,Yes,Yes,Yes,Yes,No,2000.0,Peanut Bean (Haricot),Soil conservation with living ramp,Fishing,June,pirogue Hook Small mesh net
Male,From 25 to 35,Primary school,Yes,Animal breeding,A tree that grows in forest by the sea,No,Don't know,No,Don't cut them,Protect the reefs,Yes,Absence of government/no control of mangroves exploitation,Yes,Valorize mangroves forest with tourism,Protect soil agains erosion,Yes,Yes,Yes,Yes,Yes,Yes,,Corn Bean (Haricot) Banana tree,Breed animals after the crops to fertilize the soil,Fishing,July,Hook
