Sex,Age interval,Education level,Access to phone,What is environment?,How should the environment be for us to be in good health?,Have you already heard about climate change?,What is climate change?,Main heating gaz you know?,What produces heating gaz?,What are the consequencies of climate change?,What can we do to adapt to climate change?,Have you heard about environment club?,Why does one create environment clubs?,What are mangroves?,Do you know the laws about mangroves?,What text of law about the environment do you know?,Do you know what the laws say about mangroves protection?,What does the law about the environment and mangrove protection say?,What is the importance of the mangroves?,Are mangroves in danger?,Why do you believe the mangroves are in danger?,Do you know what can be done to protect the mangroves?,What can be done to protect the mangroves according to you?,What is the importance of trees according to you?,Do you have skills in tree nursery?,Are you willing to be trained mangroves nursery?,Are you ready to be part of an environment club?,Are you willing to sensitize your parents on how to protect the environment?,What would you do with a plastic water bag or bottle after drinking it if there is no trash bin nearby?,What would you do with a plastic water bag or bottle after drinking it in a car?,What would you do if one of your parents decided to cut down a tree that provides a lot of fruit or that is on a slope?
Female,From 15 to 20,Secondary school,Yes,Spaces where people live,The environment must be clean,Yes,Increase in the temperature of the atmosphere due to the emission of heating gases from human activities,CO2,The industries,,Plant trees to stock the excess of CO2,No,To carry out environmental sensitization activities,A tree that grows in forest by the sea,Yes,Environment Decree (2005),Yes,Do not throw garbage in the mangroves,Growing environment for crustaceans,Yes,Absence of government/no control of mangroves exploitation,,Organize a management committee,Facilitate water filtration to the ground,Yes,Yes,Yes,Yes,Put it in my pocket or bag to throw it later in a trash bin lem rive lakay,Put it in my bag and put it in a trash bin at home,Explain him/her the importance of the tree
Female,From 15 to 20,Secondary school,Yes,Spaces where people live,The environment must be clean,Yes,Increase in the temperature of the atmosphere due to the emission of heating gases from human activities,CO2,The industries,It can cause issues in crops and in animal breeding,Plant trees to stock the excess of CO2,No,To carry out environmental sensitization activities,A tree that grows in forest by the sea,Yes,Don't know,Yes,Do not throw garbage in the mangroves,Growing environment for crustaceans,Yes,Absence of government/no control of mangroves exploitation,,Elaborate a plan with community management,Protect soil agains erosion,Yes,Yes,Yes,Yes,Put it in my pocket or bag to throw it later poubel si m jwenn wout sou wout mwen,Put it in my bag and put it in a trash bin at home,Explain him/her the importance of the tree
Female,From 15 to 20,Secondary school,Yes,Spaces where people live,"We must not throw garbages in the mangroves, in the streets, in the rivers and at the sea",Yes,Increase in the temperature of the atmosphere due to the emission of heating gases from human activities,CO2,The industries,It causes drought,Plant trees to stock the excess of CO2,No,To carry out environmental sensitization activities,A tree that grows in forest by the sea,Yes,Mangroves Decree (2013),Yes,Do not throw garbage in the mangroves,Growing environment for crustaceans,Yes,Absence of government/no control of mangroves exploitation,,Elaborate a plan with community management,Protect soil agains erosion,Yes,Yes,Yes,Yes,Put it in my pocket or bag to throw it later in a trash bin lem rive lakay,Put it in my bag and put it in a trash bin at home,Explain him/her the importance of the tree
Female,From 15 to 20,Primary school,Yes,Spaces where people live,"We must not throw garbages in the mangroves, in the streets, in the rivers and at the sea",Yes,Increase in the temperature of the atmosphere due to the emission of heating gases from human activities,CO2,The industries,It causes drought,Plant trees to stock the excess of CO2,No,To carry out environmental sensitization activities,A tree that grows in forest by the sea,Yes,Environment Decree (2005),Yes,Do not throw garbage in the mangroves,Growing environment for crustaceans,Yes,Absence of government/no control of mangroves exploitation,,Elaborate a plan with community management,Protect soil agains erosion,Yes,Yes,Yes,Yes,Put it in my pocket or bag to throw it later in a trash bin lem rive lakay,Put it in my bag and put it in a trash bin at home,Explain him/her the importance of the tree
Female,From 12 to 15,Primary school,Yes,Spaces where people live,The environment must be clean,Yes,Increase in the temperature of the atmosphere due to the emission of heating gases from human activities,CO2,The industries,It can cause issues in crops and in animal breeding,Plant trees to stock the excess of CO2,No,To carry out training about environment,A tree that grows in forest by the sea,Yes,Mangroves Decree (2013),Yes,Don't cut them,Protect the reefs,Yes,Absence of government/no control of mangroves exploitation,,Enforce law to protect the mangroves,Provide oxygen,Yes,Yes,Yes,Yes,Put it in my pocket or bag to throw it later in a trash bin lem rive lakay,Put it in my bag and put it in a trash bin at home,Explain him/her the importance of the tree
Female,From 12 to 15,Primary school,Yes,Spaces where people live,The environment must be clean,Yes,Increase in the temperature of the atmosphere due to the emission of heating gases from human activities,CO2,The industries,It can cause issues in crops and in animal breeding,Plant trees to stock the excess of CO2,No,To carry out environmental sensitization activities,A tree that grows in forest by the sea,Yes,Mangroves Decree (2013),Yes,Do not throw garbage in the mangroves,Growing environment for crustaceans,Yes,Absence of government/no control of mangroves exploitation,,Elaborate a plan with community management,Protect soil agains erosion,Yes,Yes,Yes,Yes,Put it in my pocket or bag to throw it later in a trash bin lem rive lakay,Put it in my bag and put it in a trash bin at home,Explain him/her the importance of the tree
Male,From 15 to 20,Secondary school,Yes,Spaces where people live,The environment must be clean,Yes,Increase in the temperature of the atmosphere due to the emission of heating gases from human activities,CO2,The industries,It can cause issues in crops and in animal breeding,Plant trees to stock the excess of CO2,No,To carry out environmental sensitization activities,A tree that grows in forest by the sea,Yes,Mangroves Decree (2013),Yes,Do not throw garbage in the mangroves,Protect the reefs,Yes,Absence of government/no control of mangroves exploitation,,Elaborate a plan with community management,Protect soil agains erosion,Yes,Yes,Yes,Yes,Put it in my pocket or bag to throw it later in a trash bin lem rive lakay,Put it in my bag and put it in a trash bin at home,Explain him/her the importance of the tree
Male,From 15 to 20,Secondary school,Yes,Spaces where people live,The environment must be clean,Yes,Increase in the temperature of the atmosphere due to the emission of heating gases from human activities,CO2,The industries,It can cause issues in crops and in animal breeding,Plant trees to stock the excess of CO2,No,To carry out environmental sensitization activities,A tree that grows in forest by the sea,Yes,Mangroves Decree (2013),Yes,Do not throw garbage in the mangroves,Growing environment for crustaceans,Yes,Absence of government/no control of mangroves exploitation,,Elaborate a plan with community management,Provide oxygen,Yes,Yes,Yes,Yes,Put it in my pocket or bag to throw it later in a trash bin lem rive lakay,Put it in my bag and put it in a trash bin at home,Explain him/her the importance of the tree
Female,From 12 to 15,Primary school,Yes,Spaces where people live,The environment must be clean,Yes,Increase in the temperature of the atmosphere due to the emission of heating gases from human activities,CO2,The industries,It can cause issues in crops and in animal breeding,Plant trees to stock the excess of CO2,No,To carry out environmental sensitization activities,A tree that grows in forest by the sea,Yes,Mangroves Decree (2013),Yes,Do not throw garbage in the mangroves,Growing environment for crustaceans,Yes,Absence of government/no control of mangroves exploitation,,Elaborate a plan with community management,Protect soil agains erosion,Yes,Yes,Yes,Yes,Put it in my pocket or bag to throw it later in a trash bin lem rive lakay,Put it in my bag and put it in a trash bin at home,Explain him/her the importance of the tree
Male,From 15 to 20,Secondary school,Yes,Spaces where people live,"We must plant trees, mostly in the mountains",Yes,Increase in the temperature of the atmosphere due to the emission of heating gases from human activities,CO2,The industries,Increase in the earth temperature,Plant trees to stock the excess of CO2,No,To carry out environmental sensitization activities,A tree that grows in forest by the sea,Yes,Environment Decree (2005),Yes,Do not throw garbage in the mangroves,Protect the reefs,Yes,Absence of government/no control of mangroves exploitation,,Organize a management committee,Protect soil agains erosion,Yes,Yes,Yes,Yes,Put it in my pocket or bag to throw it later poubel si m jwenn wout sou wout mwen,Put it in my bag and put it in a trash bin at home,Explain him/her the importance of the tree
Female,Less than 12,Primary school,Yes,Spaces where live the animals Spaces where there are trees,"The environment must be clean WE must protect the trees We must plant trees, mostly in the mountains",Yes,Increase in the temperature of the atmosphere due to the emission of heating gases from human activities,,Deforestation,There are more hurricane and they become more violent It occasions diseases for human being and animals,Plant trees to stock the excess of CO2,No,To carry out environmental sensitization activities,A tree that grows in forest by the sea,Yes,Mangroves Decree (2013),Yes,Do not throw garbage in the mangroves Don't cut them Don't know,It contributes to food security (thank to fishing products) Prevent flooding Birds habitat,Yes,Absence of government/no control of mangroves exploitation Community over-exploitation of mangroves,,Elaborate a plan with community management Organize a management committee,Natural medicines Provide oxygen Protection against flooding,Yes,Yes,Yes,Yes,Put it in my pocket or bag to throw it later in a trash bin lem rive lakay,Put it in my pocket or my bag and throw it in a trash bin on the road Put it in my bag and put it in a trash bin at home,Explain him/her the importance of the tree
Male,From 15 to 20,Secondary school,Yes,Spaces where people live Spaces where there are trees Other,"The environment must be clean WE must protect the trees We must plant trees, mostly in the mountains Other",Yes,Increase in the temperature of the atmosphere due to the emission of heating gases from human activities,CO2 Other,Vehicles that run with fossil energies Increase in animal breeding and use of fertilizers Other,Increase in the earth temperature There are more hurricane and they become more violent,"Plant trees to stock the excess of CO2 Manage garbage, recycle them",No,To plant trees To carry out environmental sensitization activities Other,A tree that grows in forest by the sea,No,,,,,,,,,Protect soil agains erosion Provide food for human and animals Provide oxygen Protection against flooding Other,Yes,Yes,Yes,Yes,Put it in my pocket or bag to throw it later in a trash bin lem rive lakay Throw it on a pile of rubbish Put it in my pocket or bag to throw it later poubel si m jwenn wout sou wout mwen,Put it in my pocket or my bag and throw it in a trash bin on the road Put it in my bag and put it in a trash bin at home,Explain him/her the importance of the tree Other
Female,From 12 to 15,Secondary school,Yes,Other Spaces where people live,"The environment must be clean WE must protect the trees We must plant trees, mostly in the mountains We must not throw garbages in the mangroves, in the streets, in the rivers and at the sea Other",No,,,,,,No,To plant trees To carry out environmental sensitization activities,Don't know,,,,,,,,,,Provide oxygen Facilitate water filtration to the ground Protection against flooding Wind breaker Other,Yes,Yes,Yes,Yes,Put it in my pocket or bag to throw it later poubel si m jwenn wout sou wout mwen Put it in my pocket or bag to throw it later in a trash bin lem rive lakay Throw it on a pile of rubbish,Put it in my bag and put it in a trash bin at home Put it in my pocket or my bag and throw it in a trash bin on the road,Explain him/her the importance of the tree Other
Female,From 12 to 15,Secondary school,No,Spaces where people live Spaces where live the animals Spaces where there are trees Other,"The environment must be clean WE must protect the trees We must plant trees, mostly in the mountains We must not throw garbages in the mangroves, in the streets, in the rivers and at the sea",Yes,Don't know,,,,,,To carry out environmental sensitization activities To plant trees To carry out training about environment Other,A tree that grows in forest by the sea,No,,,,,,,,,Provide oxygen Natural medicines Provide food for human and animals Facilitate water filtration to the ground Protection against flooding Wind breaker,Yes,Yes,Yes,Yes,Throw it on a pile of rubbish Put it in my pocket or bag to throw it later in a trash bin lem rive lakay Put it in my pocket or bag to throw it later poubel si m jwenn wout sou wout mwen,Put it in my bag and put it in a trash bin at home Put it in my pocket or my bag and throw it in a trash bin on the road,Explain him/her the importance of the tree Other
Male,From 12 to 15,Primary school,Yes,Spaces where there are trees Spaces where people live Schools and classooms Spaces where live the animals Other,"The environment must be clean WE must protect the trees We must plant trees, mostly in the mountains We must not throw garbages in the mangroves, in the streets, in the rivers and at the sea",No,,,,,,No,To carry out environmental sensitization activities To plant trees To carry out training about environment To relax in the afternoon Other,A tree that grows in forest by the sea,No,,,,,,,,,Protect soil agains erosion Facilitate water filtration to the ground Provide food for human and animals Natural medicines Controle the earth temperature Provide oxygen Don't know Protection against flooding,Yes,Yes,Yes,Yes,Put it in my pocket or bag to throw it later in a trash bin lem rive lakay Put it in my pocket or bag to throw it later poubel si m jwenn wout sou wout mwen,Throw it bellow the car,Explain him/her the importance of the tree Other
Female,From 12 to 15,Primary school,Yes,"Spaces where there are trees Rivers, water springs The sea Spaces where live the animals Spaces where people live The sky Other",The environment must be clean,No,,,,,,No,To carry out environmental sensitization activities To plant trees To carry out training about environment,A tree that grows in forest by the sea,No,,,,,,,,,Protect soil agains erosion Facilitate water filtration to the ground Provide food for human and animals Natural medicines Controle the earth temperature Provide oxygen Don't know Protection against flooding,Yes,Yes,Yes,Yes,Put it in my pocket or bag to throw it later in a trash bin lem rive lakay Put it in my pocket or bag to throw it later poubel si m jwenn wout sou wout mwen,Put it in my bag and put it in a trash bin at home Put it in my pocket or my bag and throw it in a trash bin on the road,Explain him/her the importance of the tree
Female,From 15 to 20,Primary school,Yes,"Rivers, water springs Spaces where there are trees The sea Schools and classooms Spaces where people live Other","The environment must be clean WE must protect the trees We must plant trees, mostly in the mountains We must not throw garbages in the mangroves, in the streets, in the rivers and at the sea Other",No,,,,,,No,To plant trees To carry out training about environment To relax in the afternoon To carry out environmental sensitization activities Other,A tree that grows in forest by the sea,No,,,,,,,,,Provide food for human and animals Facilitate water filtration to the ground Controle the earth temperature Provide oxygen Don't know Protection against flooding Wind breaker,Yes,Yes,Yes,Yes,Put it in my pocket or bag to throw it later poubel si m jwenn wout sou wout mwen Put it in my pocket or bag to throw it later in a trash bin lem rive lakay,Put it in my pocket or my bag and throw it in a trash bin on the road Put it in my bag and put it in a trash bin at home,Explain him/her the importance of the tree
Female,From 15 to 20,Secondary school,No,"Other Spaces where live the animals Spaces where there are trees Rivers, water springs Spaces where people live Schools and classooms The sea","The environment must be clean WE must protect the trees We must plant trees, mostly in the mountains We must not throw garbages in the mangroves, in the streets, in the rivers and at the sea",Yes,Increase in the temperature of the atmosphere due to the emission of heating gases from human activities,CO2 Oxygen,Don't know,Increase in the earth temperature Increase in the sea saltiness There are more hurricane and they become more violent It causes drought It causes flooding It can cause issues in crops and in animal breeding,Don't know,No,To carry out environmental sensitization activities To plant trees To carry out training about environment Other,A tree that grows in forest by the sea,No,,,,,,,,,Facilitate water filtration to the ground Protect soil agains erosion Provide food for human and animals Natural medicines Controle the earth temperature Provide oxygen Don't know Protection against flooding Wind breaker,Yes,Yes,Yes,Yes,Put it in my pocket or bag to throw it later in a trash bin lem rive lakay Put it in my pocket or bag to throw it later poubel si m jwenn wout sou wout mwen,Put it in my bag and put it in a trash bin at home Put it in my pocket or my bag and throw it in a trash bin on the road,Explain him/her the importance of the tree
Female,From 15 to 20,Primary school,Yes,"Spaces where live the animals Spaces where people live Rivers, water springs The sea Spaces where there are trees Other","The environment must be clean WE must protect the trees We must plant trees, mostly in the mountains We must not throw garbages in the mangroves, in the streets, in the rivers and at the sea",Yes,Increase in the temperature of the atmosphere due to the emission of heating gases from human activities,CO2,Vehicles that run with fossil energies The industries,Increase in the earth temperature Increase in the sea saltiness There are more hurricane and they become more violent It causes flooding It causes drought,"Plant trees to stock the excess of CO2 Manage garbage, recycle them Reduce the amount of CO2 we are emitting into the atmosphere",No,To carry out environmental sensitization activities To plant trees To carry out training about environment,A tree that grows in forest by the sea,No,,,,,,,,,Facilitate water filtration to the ground Natural medicines Provide food for human and animals Controle the earth temperature Provide oxygen Don't know Protection against flooding,Yes,Yes,Yes,Yes,Put it in my pocket or bag to throw it later in a trash bin lem rive lakay Put it in my pocket or bag to throw it later poubel si m jwenn wout sou wout mwen,Put it in my bag and put it in a trash bin at home Put it in my pocket or my bag and throw it in a trash bin on the road,Explain him/her the importance of the tree
